jedyorkgoat	@bdepouw09 @OhioState @NCAA suck my ass
yaknoShelby	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
GrantsOffice	On Wednesday we're hosting a FREE event on #grants for body-worn cameras &amp; other police video tech with @NetApp,… https://t.co/FGpiP3oAnQ
THENEXTLEVEL216	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
polaspilates	@JoshRadnor I think his loophole must be that she didn’t attend @OhioState ? If your mother is a Buckeye, you are r… https://t.co/8r1TtSXd6u
bridgetbenson21	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
desinak14	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
hollywoodiomc	@OhioState stulid uniforms.Most important game of the year&amp; u cant sport our scarlet&amp;grey?! Mishitgan is proud of their ugly colors
christopherM104	RT @MichaELizabeth: @NotreDame @purduemitch @UMich  @michiganstateu @Harvard @Yale @IUBloomington @OhioState @penn_state @UofAlabama @USC @…
MrPatrickDoran	@NicholasALloyd @OhioState Oregon does it a lot, too.
amariagee	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
NicholasALloyd	@MrPatrickDoran @OhioState They’ve been doing it for a few years now. I assume it’s a money making scam, but it rea… https://t.co/QQ7sVPNXyN
janvanfirst	Hope @OhioState sticks with the JT Barrett game plan.
MrPatrickDoran	@NicholasALloyd @OhioState I just said the same thing to Dad. Though I'm not an OSU fan, their uniforms are classic.
grahamcochran	RT @medflygenes: Our @OhioState faculty, staff &amp; students are bringing their expertise to battling the #opioidaddiction crisis in Ohio and…
NicholasALloyd	Ohio State, we get it with the alternative uniforms. Enough. Just go with scarlet and grey. Can’t beat a classic. Thx @OhioState
UCMJOATH	@OSUPrezDrake I hope this Idiot Uniform against Michigan is not your Notion of Time &amp; Change. This is not the Tradi… https://t.co/5fjK8TgeJo
kelly_klawitter	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
Doughboy9047	The best thing to come out of @OhioState is #TheSimpsons #GoBlue #OSUvsMICH
